# Threshold	Compression	Recovery
0.05	1.48808	0.676184
0.025	1.48808	0.676184
0.075	1.48808	0.676184
0.1	1.48808	0.676184
0.125	1.48808	0.676184
0.15	1.48808	0.676184
0.175	1.48808	0.676184
0.2	4.47352	0.233287
0.225	5.0386	0.204735
0.25	3.06838	0.261838
0.275	3.06838	0.261838
0.3	5.0922	0.0967967
0.325	5.0922	0.0967967
0.35	6.67907	0.0898329
0.375	6.74178	0.0912256
0.4	6.74178	0.0912256
0.425	4	0.12883
0.45	4.78667	0.0633705
0.475	4.78667	0.0633705
0.5	3.3164	0.0612813
0.525	3.3164	0.0612813
0.55	3.30876	0.066156
0.575	2.24375	0.0571031
0.6	2.21605	0.0654596
0.625	2.21605	0.0654596
0.65	2.21605	0.0654596
0.675	1.80629	0.0954039
0.7	1.80629	0.0954039
0.725	1.80629	0.0954039
0.75	1.47889	0.190111
0.775	1.47889	0.190111
0.8	1.50524	0.183148
0.825	1.50524	0.183148
0.85	1.50366	0.183844
0.875	1.48501	0.287604
0.9	1.42319	0.306407
0.925	1.40371	0.316852
0.95	1.40371	0.316852
0.975	1.40371	0.316852
