# Threshold	Compression	Recovery
0.025	1.44322	0.279944
0.05	1.44322	0.279944
0.075	1.44322	0.279944
0.1	1.44322	0.279944
0.125	1.44322	0.279944
0.15	1.44322	0.279944
0.175	1.44322	0.279944
0.2	1.44322	0.279944
0.225	1.44322	0.279944
0.25	1.44322	0.279944
0.275	1.44322	0.279944
0.3	1.44322	0.279944
0.325	1.44322	0.279944
0.35	1.44322	0.279944
0.375	1.48808	0.254875
0.4	1.48808	0.254875
0.425	1.48808	0.254875
0.45	1.48808	0.254875
0.475	1.66589	0.0793872
0.5	1.97253	0.100975
0.525	1.97253	0.100975
0.55	1.97253	0.100975
0.575	1.97253	0.100975
0.6	2.40536	0.0584958
0.625	2.40536	0.0584958
0.65	2.40536	0.0584958
0.675	2.40536	0.0584958
0.7	2.96082	0.0577994
0.725	2.96082	0.0577994
0.75	3.32407	0.120474
0.775	3.16998	0.144847
0.8	3.16998	0.144847
0.825	4.60256	0.0995822
0.85	4.60256	0.0995822
0.875	4.60256	0.0995822
0.9	3.3164	0.116992
0.925	3.3164	0.116992
0.95	4.5443	0.121866
0.975	3.49392	0.190808
1	3.49392	0.190808
