# Threshold	Compression	Recovery
0.025	1.48808	0.676184
0.05	1.48808	0.676184
0.075	1.48808	0.676184
0.1	1.48808	0.676184
0.125	1.48808	0.676184
0.15	1.48808	0.676184
0.175	1.48808	0.676184
0.2	1.48808	0.676184
0.225	1.48808	0.676184
0.25	8.02235	0.135794
0.275	8.02235	0.135794
0.3	8.02235	0.135794
0.325	8.02235	0.135794
0.35	5.56589	0.0278552
0.375	5.58755	0.0278552
0.4	5.58755	0.0278552
0.425	3.93425	0.160167
0.45	3.97784	0.16156
0.475	4.73927	0.0779944
0.5	4.73927	0.0779944
0.525	4.96886	0.097493
0.55	5.11032	0.0967967
0.575	4.22353	0.143454
0.6	4.22353	0.143454
0.625	4.41846	0.144847
0.65	4.88435	0.0933148
0.675	5.18412	0.0947075
0.7	3.07495	0.0682451
0.725	3.65394	0.0577994
0.75	3.64467	0.0466574
0.775	3.15604	0.0633705
0.8	3.14912	0.0668524
0.825	2.0112	0.0772981
0.85	2.17906	0.0724234
0.875	2.20584	0.0612813
0.9	1.80402	0.10376
0.925	1.57284	0.185933
0.95	1.52119	0.193593
0.975	1.53255	0.206825
