# Threshold	Compression	Recovery
0.025	1.48808	0.676184
0.05	1.48808	0.676184
0.075	1.48808	0.676184
0.1	1.48808	0.676184
0.125	1.48808	0.676184
0.15	1.48808	0.676184
0.175	1.48808	0.676184
0.2	1.48808	0.676184
0.225	6.03361	0.175487
0.25	6.03361	0.175487
0.275	8.02235	0.135794
0.3	8.02235	0.135794
0.325	7.6383	0.141365
0.35	4.77076	0.158078
0.375	2.65434	0.383008
0.4	2.49739	0.359331
0.425	4.41846	0.208217
0.45	6.52727	0.091922
0.475	6.97087	0.0926184
0.5	4.50157	0.0341226
0.525	4.50157	0.0341226
0.55	4.63226	0.0640669
0.575	4.67752	0.0341226
0.6	5.2029	0.0947075
0.625	4.27381	0.0926184
0.65	3.61713	0.0647632
0.675	3.23423	0.0884401
0.7	3.4686	0.12883
0.725	4.93471	0.0981894
0.75	3.477	0.0369081
0.775	3.17699	0.0807799
0.8	3.21973	0.0724234
0.825	2.25078	0.066156
0.85	2.18569	0.0738162
0.875	2.1594	0.0759053
0.9	1.70749	0.0793872
0.925	1.59378	0.153203
0.95	1.52442	0.191504
0.975	1.54741	0.181755
