# Threshold	Compression	Recovery
0.025	239.333	0.0167131
0.05	239.333	0.0188022
0.075	239.333	0.0167131
0.1	239.333	0.0188022
0.125	239.333	0.0167131
0.15	239.333	0.0188022
0.175	239.333	0.0167131
0.2	239.333	0.0188022
0.225	95.7333	0.0208914
0.25	95.7333	0.0208914
0.275	20.8116	0.0278552
0.3	12.5965	0.0383008
0.325	12.5965	0.0369081
0.35	11.9667	0.0389972
0.375	11.9667	0.0376045
0.4	10.1844	0.0954039
0.425	10.1844	0.0947075
0.45	7.72043	0.0981894
0.475	7.72043	0.097493
0.5	3.3948	0.107242
0.525	3.3948	0.106546
0.55	3.32407	0.107242
0.575	2.30128	0.17688
0.6	2.20584	0.183148
0.625	2.20584	0.183148
0.65	2.20584	0.183148
0.675	1.96175	0.199164
0.7	1.96175	0.199164
0.725	1.96175	0.199164
0.75	1.36372	0.254178
0.775	1.36372	0.254875
0.8	1.38744	0.251393
0.825	1.38744	0.252089
0.85	1.42038	0.246518
0.875	1.34836	0.252786
0.9	1.27644	0.263928
0.925	1.27644	0.263231
0.95	1.27644	0.263928
0.975	1.27644	0.263231
