# Threshold	Compression	Recovery
0.025	239.333	0.0167131
0.05	239.333	0.0188022
0.075	239.333	0.0167131
0.1	239.333	0.0188022
0.125	239.333	0.0167131
0.15	239.333	0.0188022
0.175	239.333	0.0167131
0.2	239.333	0.0188022
0.225	239.333	0.0167131
0.25	239.333	0.0188022
0.275	239.333	0.0167131
0.3	239.333	0.0188022
0.325	239.333	0.0167131
0.35	59.8333	0.0229805
0.375	59.8333	0.0215877
0.4	59.8333	0.0229805
0.425	53.1852	0.0194986
0.45	53.1852	0.0194986
0.475	18.4103	0.0278552
0.5	18.4103	0.0299443
0.525	15.9556	0.031337
0.55	15.9556	0.031337
0.575	12.2735	0.0410864
0.6	11.9667	0.0417827
0.625	11.9667	0.0417827
0.65	9.03145	0.0431755
0.675	8.8642	0.0877437
0.7	8.25287	0.0898329
0.725	3.32407	0.114206
0.75	3.30115	0.110028
0.775	2.60145	0.139276
0.8	3.04883	0.116295
0.825	1.95374	0.204735
0.85	1.88451	0.205432
0.875	1.87712	0.207521
0.9	2.06322	0.188719
0.925	1.38343	0.249304
0.95	1.30427	0.263928
0.975	1.31502	0.259749
