# Threshold	Compression	Recovery
0.025	239.333	0.00208914
0.05	239.333	0.00208914
0.075	239.333	0.00208914
0.1	239.333	0.00208914
0.125	239.333	0.00208914
0.15	239.333	0.00208914
0.175	239.333	0.00208914
0.2	239.333	0.00208914
0.225	239.333	0.00208914
0.25	239.333	0.00208914
0.275	239.333	0.00208914
0.3	239.333	0.00208914
0.325	239.333	0.00208914
0.35	59.8333	0.0306407
0.375	59.8333	0.0306407
0.4	59.8333	0.0306407
0.425	53.1852	0.0299443
0.45	34.1905	0.0320334
0.475	34.1905	0.0320334
0.5	18.4103	0.0327298
0.525	18.4103	0.0327298
0.55	18.4103	0.0327298
0.575	18.4103	0.0327298
0.6	12.2735	0.0536212
0.625	10.8788	0.0571031
0.65	10.8788	0.0571031
0.675	7.03922	0.0849582
0.7	5.50192	0.100975
0.725	5.26007	0.106546
0.75	2.84921	0.172702
0.775	2.73524	0.177577
0.8	2.36964	0.199861
0.825	2.18569	0.229805
0.85	1.89196	0.263928
0.875	1.89947	0.275766
0.9	1.7598	0.35585
0.925	1.38343	0.461699
0.95	1.3408	0.486072
0.975	1.32595	0.493733
