# Threshold	Compression	Recovery
0.05	1.33706	0.502786
0.55	1.33706	0.502786
1.05	1.33706	0.502786
1.55	1.57976	0.380919
2.05	2.24726	0.215181
2.55	3.25624	0.195682
3.05	4.64725	0.139972
3.55	6.8381	0.0898329
4.05	15.4409	0.0445682
4.55	16.5057	0.0389972
5.05	31.9111	0.0250696
5.55	34.1905	0.0243733
6.05	43.5152	0.020195
6.55	43.5152	0.020195
7.05	79.7778	0.0208914
7.55	79.7778	0.0208914
8.05	119.667	0.00348189
8.55	119.667	0.00348189
9.05	239.333	0.00208914
9.55	239.333	0.00208914
10.05	239.333	0.00208914
10.55	239.333	0.00208914
11.05	239.333	0.00208914
11.55	239.333	0.00208914
12.05	239.333	0.00208914
12.55	239.333	0.00208914
13.05	239.333	0.00208914
13.55	239.333	0.00208914
14.05	239.333	0.00208914
14.55	239.333	0.00208914
15.05	239.333	0.00208914
15.55	239.333	0.00208914
16.05	239.333	0.00208914
16.55	239.333	0.00208914
17.05	239.333	0.00208914
17.55	239.333	0.00208914
18.05	239.333	0.00208914
18.55	239.333	0.00208914
19.05	239.333	0.00208914
19.55	239.333	0.00208914
