# Threshold	Compression	Recovery
0.025	239.333	0.0167131
0.05	239.333	0.0188022
0.075	239.333	0.0167131
0.1	239.333	0.0188022
0.125	239.333	0.0167131
0.15	239.333	0.0188022
0.175	239.333	0.0167131
0.2	239.333	0.0188022
0.225	239.333	0.0167131
0.25	239.333	0.0188022
0.275	239.333	0.0167131
0.3	239.333	0.0188022
0.325	239.333	0.0167131
0.35	59.8333	0.0229805
0.375	59.8333	0.0215877
0.4	59.8333	0.0229805
0.425	53.1852	0.0194986
0.45	34.1905	0.0271588
0.475	34.1905	0.0278552
0.5	18.4103	0.0278552
0.525	18.4103	0.0299443
0.55	18.4103	0.0278552
0.575	18.4103	0.0299443
0.6	12.2735	0.0417827
0.625	10.8788	0.04039
0.65	10.8788	0.0417827
0.675	7.03922	0.0577994
0.7	5.50192	0.0731198
0.725	5.26007	0.109331
0.75	2.84921	0.130223
0.775	2.73524	0.137187
0.8	2.36964	0.18454
0.825	2.18569	0.189415
0.85	1.89196	0.204735
0.875	1.89947	0.219359
0.9	1.7598	0.197772
0.925	1.38343	0.251393
0.95	1.3408	0.256267
0.975	1.32595	0.25766
