# Threshold	Compression	Recovery
0.05	1.33706	0.256964
0.55	1.33706	0.256964
1.05	1.33706	0.256964
1.55	1.57976	0.220752
2.05	2.24726	0.182451
2.55	3.25624	0.13649
3.05	4.64725	0.128134
3.55	6.8381	0.0598886
4.05	15.4409	0.0306407
4.55	16.5057	0.0327298
5.05	31.9111	0.0278552
5.55	34.1905	0.0264624
6.05	43.5152	0.0243733
6.55	43.5152	0.0243733
7.05	79.7778	0.0188022
7.55	79.7778	0.0208914
8.05	119.667	0.020195
8.55	119.667	0.020195
9.05	239.333	0.0167131
9.55	239.333	0.0188022
10.05	239.333	0.0167131
10.55	239.333	0.0188022
11.05	239.333	0.0167131
11.55	239.333	0.0188022
12.05	239.333	0.0167131
12.55	239.333	0.0188022
13.05	239.333	0.0167131
13.55	239.333	0.0188022
14.05	239.333	0.0167131
14.55	239.333	0.0188022
15.05	239.333	0.0167131
15.55	239.333	0.0188022
16.05	239.333	0.0167131
16.55	239.333	0.0188022
17.05	239.333	0.0167131
17.55	239.333	0.0188022
18.05	239.333	0.0167131
18.55	239.333	0.0188022
19.05	239.333	0.0167131
19.55	239.333	0.0188022
